지반침하사고발생신고,,,,,,,,,,,,,,,,,,,
No,사고발생위치,사고발생일자,통보일자,발생원인구분,발생지역지질종류,발생규모폭(m),발생규모연장(m),발생규모깊이(m),피해사망자수(명),피해부상자수(명),피해차량대수(대),사고지점위도,사고지점경도,복구방법,복구상태,복구완료일자,최종수정일자,최종 수정자,최종 수정자 ID
1,경상북도 구미시 원평동 산36-7,2024-12-23 오전 00:00,2025-01-10 오후 01:24,기타,,1,1,1,0,0,0,36.1197925173,128.3584325437,굴착부분 되메우기 재시공 및 포장 복구 완료,복구완료,2024-12-23 오전 00:00,2025-02-07 오후 02:20,경상북도 구미시,twoai11
2,경기도 안양시 만안구 안양동 안양로 376,2024-11-29 오전 00:00,2025-01-16 오후 05:05,굴착공사 부실,기타,3,5,2,0,0,0,37.4047919521,126.9165139913,지하 그라우팅 보강 및 차도 포장 복구,복구완료,2024-11-29 오전 00:00,2025-02-06 오후 05:37,경기도 안양시,haninsoo1224
3,경기도 파주시 아동동 322-28번지 일원,2024-11-11 오전 00:00,2024-11-11 오후 06:19,굴착공사 부실,기타,0.5,52,0.1,0,0,0,37.7668142073,126.7807679302,원인 파악 후 되메우기,복구완료,2025-01-25 오전 00:00,2025-02-11 오후 04:24,경기도 파주시,vxzjl9721
4,서울특별시 동대문구 답십리동 111,2024-11-07 오전 00:00,2024-12-11 오후 03:21,하수관 손상,,1.2,1.2,1,0,0,1,37.5732684775,127.0526015588,2024. 11. 7. 16:30 폐하수관 철거 및 수도공사 완료,복구완료,2024-11-07 오전 00:00,2024-12-11 오후 03:21,,
5,서울특별시 노원구 상계동 626,2024-10-26 오전 00:00,2024-12-11 오후 07:54,다짐(되메우기) 불량,,0.2,0.4,0.9,0,1,0,37.6690541679,127.0568691617,기층개량 및 보도포장 완료,복구완료,2024-10-28 오전 00:00,2025-02-10 오후 01:13,서울특별시 노원구,nowonjis
6,전라남도 순천시 남정동 남정3길 8,2024-10-20 오전 00:00,2025-01-16 오후 02:46,하수관 손상,,1.5,1.5,1,0,0,0,34.942189558,127.4873997463,콘크리트 타설로 공동 복구 완료,복구완료,2024-12-16 오전 00:00,2025-01-16 오후 05:47,전라남도 순천시,suncheon
7,광주광역시 광산구 오선동 548-5 (하남산단7번로 153),2024-10-15 오전 00:00,2024-10-18 오전 10:37,하수관 손상,,2,2,2.5,0,0,0,35.2061167413,126.8122630468,하남산단7번로 지반침하 긴급복구공사 완료( 노후하수관로 교체 및 포장),복구완료,2024-12-18 오전 00:00,2025-02-04 오후 03:45,광주광역시 광산구,rjstjfrhk8575
8,광주광역시 북구 신안동 210-5,2024-10-07 오전 00:00,2025-01-15 오전 10:30,하수관 손상,기타,1,1,0.5,0,0,0,35.171044346,126.9044499523,하수관로 교체 및 항구복구 완료,복구완료,2024-10-09 오전 00:00,2025-01-15 오전 10:29,,
9,인천광역시 부평구 부평동 754-56,2024-10-04 오전 00:00,2024-10-04 오후 06:11,굴착공사 부실,기타,1,3,0.5,0,0,1,37.4854566548,126.7181383497,"골재되메우기, 표층 포장 ",복구완료,2024-10-04 오전 00:00,2024-10-22 오전 10:48,신상기,ssk3325
10,전북특별자치도 전주시 완산구 중화산동2가 519-11,2024-09-24 오전 00:00,2024-10-17 오전 10:01,기타,,1.5,0.7,2.2,0,0,0,35.8120087529,127.1261398917,"9. 24.(화) 15:40 싱크홀 신고 접수
9. 24.(화) 17:35 골재 채움
10. 17.(목) 10:00 포장 완료",복구완료,2024-10-17 오전 00:00,2024-10-17 오전 10:01,전북특별자치도 전주시,lmh24129
